"고유번호","구명","법정동명","산지여부","주지번","부지번","새주소명","소재지","지목한글","수목면적","수종한글","본수","과명","학명","수령","수고","흉고둘레","수관너비","활력도","지정품목","지정년월일","수목구분내용","가치등급","소유자","관리자","병해종류명","병해피해도","병해관리상태","병해관리방안","충해종류명","충해피해도","충해관리상태","충해관리방안","기타피해상태","기타피해관리","지정사유","나무의특징","연혁 및 전설","기타","수목고유번호","품계등급","생성일","사진파일명","경도","위도"
"236","서초구"," "," "," "," "," ","서초구 반포동 88번지"," ","0E-8","느티나무","4","느릅나무과","Zelkova serrata makino","136.00000000","30.00000000","191.00000000","28.00000000","3.00000000","1-16-8-10-26(마을나무)","1968.7.3","풍치수","1.00000000","서울특별시","서초구청장"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","22-반포동-보호수-023","0E-8",""," ","127.0028243","37.5133746"
"237","서초구"," "," "," "," "," ","서초구 반포동 88번지"," ","0E-8","느티나무","4","느릅나무과","Zelkova serrata makino","136.00000000","30.00000000","191.00000000","28.00000000","3.00000000","1-16-8-10-26(마을나무)","1968.7.3","풍치수","1.00000000","서울특별시","서초구청장"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","22-반포동-보호수-022","0E-8",""," ","127.0041413","37.5141648"
"238","서초구"," "," "," "," "," ","서초구 반포동 88번지"," ","0E-8","느티나무","4","느릅나무과","Zelkova serrata makino","136.00000000","30.00000000","191.00000000","28.00000000","3.00000000","1-16-8-10-26(마을나무)","1968.7.3","풍치수","1.00000000","서울특별시","서초구청장"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","22-반포동-보호수-021","0E-8",""," ","127.0051908","37.5150463"
"239","강남구"," "," "," "," "," ","강남구 개포동 659외 1","도로","0E-8","향나무","1","측백나무과","Uniperus chinensis Linn","510.00000000","5.00000000","250.00000000","10.00000000","2.00000000","서23-5","2000.12.20"," ","0E-8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","127.056937","37.4778352"
"240","강남구"," "," "," "," "," ","강남구 대치동 975-8번지","대지","309.00000000","은행나무","1","은행나무과","Ginkgo biloba Linne","530.00000000","20.00000000","484.00000000","13.00000000","2.00000000","서23-2","1968.7.3","풍치수","1.00000000","서울특별시","대치3동장(강남구대치3동)","엽고병"," "," ","예찰 및 방제"," "," "," "," ","뿌리부위 3단 석축형성 사질 양토 약알카리성 칼슘","콘크리트 석축 옹벽을 자연석으로 교체 뿌리수술 실"," "," "," ","뿌리부위는 3단 석축으로 분이 형성 마을에서 제를"," ","38.00000000",""," ","127.0629878","37.5005752"
"241","강남구"," "," "," "," "," ","강남구 도곡동 967-2번지","임야","1833.00000000","느티나무","1","느릅나무과","Zelkova serrata makino","730.00000000","27.00000000","790.00000000","29.00000000","2.00000000","서23-1","1968.7.3","정자목","1.00000000","도곡 제 1지역 주택조합외 4인","도곡1동장"," "," "," "," ","진딧물"," ","예찰 및 방제"," "," "," "," "," "," ","구릉위에 있으며 수관폭내에 석축(2단)이 있음"," ","38.00000000",""," ","127.0408544","37.4892972"
"242","강남구"," "," "," "," "," ","강남구 삼성동 155-17외1","대지","0E-8","느티나무","1","느릅나무과","Zelkova serrata makino","400.00000000","11.00000000","420.00000000","17.00000000","2.00000000","서23-4","2000.12.20"," ","0E-8","이재효 강남구"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0E-8",""," ","127.0568295","37.5097345"
"243","강남구"," "," "," "," "," ","강남구 일원동 730-2번지","대지","215.00000000","느티나무","1","느릅나무과","Zelkova serrata makino","265.00000000","25.00000000","420.00000000","20.00000000","3.00000000","서서23-3","1981.10.27","풍치수","1.00000000","서울특별시","일원동장(강남구 일원동)"," "," "," "," ","진딧물","경경"," "," ","외과수술부위에서 부패부위 발생","외과수술실시"," "," "," ","뿌리부위는 자갈로 채？n 있으며 주변에 어린이 놀이터"," ","37.00000000",""," ","127.0774991","37.4833885"
"244","송파구"," "," "," "," "," ","송파구 오륜동 88-2번지","공원용지","314.00000000","느티나무","0","느릅나무과","Zelkova serrata makino","430.00000000","12.00000000","387.00000000","20.00000000","2.00000000","서24-5","1968.7.3","정자목","2.00000000","서울특별시","국민체육진흥공단"," "," "," "," ","진딧물 섭식성 해충"," "," "," "," "," "," "," "," "," ","20","0E-8",""," ","127.122859","37.518407"
"245","송파구"," "," "," "," "," ","송파구 문정동 29-7번지","대지","254.00000000","느티나무","1","느릅나무과","Zelkova serrata makino","530.00000000","16.00000000","485.00000000","20.00000000","2.00000000","서24-3","1968.7.3","정자목","1.00000000","서울특별시","공원녹지과"," "," "," "," ","진딧물","심"," ","약제방제"," "," "," "," "," "," ","24","0E-8",""," ","127.1242997","37.4900038"
